CustomerID,ObservationItems,ObservationDistinctItems,ObservationMaxItem,BasketNum,SumExp,AvgExp
12346.0,2,1,1,2,0.0,0.0
12347.0,182,103,47,7,4310.0,615.7142857142857
12348.0,31,22,17,4,1797.24,449.31
12350.0,17,17,17,1,334.40000000000003,334.40000000000003
12352.0,95,59,18,11,1545.4099999999996,140.49181818181816
12353.0,4,4,4,1,89.0,89.0
12354.0,58,58,58,1,1079.4,1079.4
12355.0,13,13,13,1,459.4,459.4
12356.0,59,53,36,3,2811.4300000000003,937.1433333333334
12358.0,19,13,12,2,1168.06,584.03
12359.0,254,214,105,6,6245.53,1040.9216666666666
12360.0,129,105,54,3,2662.06,887.3533333333334
12361.0,10,10,10,1,189.89999999999998,189.89999999999998
12362.0,274,201,40,13,5154.580000000001,396.5061538461539
12363.0,23,23,16,2,552.0,276.0
12364.0,85,70,34,4,1313.1,328.275
12365.0,23,22,21,3,320.69,106.89666666666666
12367.0,11,11,11,1,168.9,168.9
12370.0,167,143,83,4,3545.6900000000005,886.4225000000001
12371.0,63,63,62,2,1887.9600000000003,943.9800000000001
12372.0,52,34,20,3,1298.04,432.68
12373.0,14,14,14,1,364.6,364.6
12374.0,33,33,33,1,742.93,742.93
12375.0,18,14,11,3,455.4200000000001,151.8066666666667
12377.0,77,72,43,2,1628.1199999999997,814.0599999999998
12379.0,41,39,20,3,850.29,283.43
12380.0,105,77,36,5,2720.56,544.112
12381.0,91,70,62,6,1803.96,300.66
12383.0,100,84,37,6,1839.31,306.5516666666667
12384.0,30,26,14,3,566.16,188.72
12386.0,10,10,8,2,401.90000000000003,200.95000000000002
12388.0,100,57,35,6,2780.6600000000003,463.4433333333334
12390.0,32,32,32,1,549.8399999999999,549.8399999999999
12391.0,100,92,100,1,460.88999999999993,460.88999999999993
12393.0,64,47,25,4,1582.6000000000001,395.65000000000003
12394.0,27,26,21,2,1272.48,636.24
12395.0,159,91,19,15,2998.2799999999997,199.8853333333333
12397.0,126,110,70,2,2409.8999999999996,1204.9499999999998
12399.0,59,47,22,4,1108.65,277.1625
12401.0,5,5,5,1,84.3,84.3
12402.0,11,11,11,1,225.6,225.6
12403.0,6,5,5,2,409.7,204.85
12406.0,108,92,56,3,3280.75,1093.5833333333333
12407.0,77,57,33,5,1708.12,341.62399999999997
12408.0,113,81,32,9,2842.57,315.8411111111111
12410.0,28,26,22,3,681.0799999999999,227.02666666666664
12412.0,61,43,28,3,1226.88,408.96000000000004
12413.0,40,29,24,5,694.1500000000001,138.83
12414.0,18,16,7,3,562.4100000000001,187.47000000000003
12417.0,198,158,35,12,3578.8,298.23333333333335
12418.0,34,34,34,1,668.5799999999997,668.5799999999997
12420.0,29,29,29,1,600.3900000000001,600.3900000000001
12421.0,46,33,14,5,806.2700000000001,161.25400000000002
12422.0,39,39,18,3,803.56,267.8533333333333
12423.0,126,97,22,9,1849.1100000000004,205.4566666666667
12424.0,30,30,23,2,1760.9600000000003,880.4800000000001
12425.0,36,36,36,1,777.1999999999999,777.1999999999999
12426.0,30,30,30,1,582.7299999999999,582.7299999999999
12427.0,35,26,15,5,708.3700000000001,141.67400000000004
12428.0,300,258,98,12,7877.200000000001,656.4333333333334
12429.0,97,82,29,4,3750.4,937.6
12430.0,11,11,11,1,256.4,256.4
12431.0,240,163,37,18,6416.390000000001,356.46611111111116
12432.0,108,107,62,5,5059.320000000001,1011.8640000000001
12434.0,54,49,34,4,765.1899999999998,191.29749999999996
12436.0,16,16,16,1,509.01000000000005,509.01000000000005
12437.0,201,119,39,19,4896.66,257.718947368421
12441.0,11,11,11,1,173.55,173.55
12442.0,12,12,12,1,172.06,172.06
12444.0,177,138,90,5,5005.46,1001.092
12445.0,4,4,4,1,133.4,133.4
12446.0,58,58,58,1,1002.3099999999998,1002.3099999999998
12447.0,26,26,26,1,476.49,476.49
12448.0,22,22,22,1,449.4500000000001,449.4500000000001
12449.0,191,118,59,4,4067.29,1016.8225
12450.0,8,7,6,2,197.88,98.94
12452.0,23,21,21,3,428.57000000000005,142.85666666666668
12453.0,43,43,43,1,707.0899999999999,707.0899999999999
12454.0,30,15,15,2,4.547473508864641e-13,2.2737367544323206e-13
12455.0,90,85,41,6,2466.8599999999997,411.14333333333326
12456.0,129,105,45,4,3153.89,788.4725
12457.0,68,53,34,12,1917.78,159.815
12458.0,38,35,19,2,947.4000000000001,473.70000000000005
12461.0,35,35,34,2,826.8800000000001,413.44000000000005
12462.0,72,51,40,4,1124.01,281.0025
12463.0,88,66,23,7,1303.63,186.23285714285717
12464.0,29,6,6,8,1212.0500000000002,151.50625000000002
12465.0,51,46,26,3,733.8900000000001,244.63000000000002
12468.0,40,36,26,3,724.04,241.34666666666666
12472.0,391,226,80,13,6229.4800000000005,479.19076923076926
12473.0,179,140,99,9,2848.23,316.47
12474.0,457,253,48,30,7116.469999999999,237.21566666666664
12475.0,36,36,36,1,723.38,723.38
12476.0,264,177,59,20,6546.579999999998,327.3289999999999
12478.0,36,36,36,1,680.9900000000002,680.9900000000002
12479.0,35,31,31,3,477.30000000000007,159.10000000000002
12480.0,154,129,42,4,3281.6300000000006,820.4075000000001
12481.0,218,150,48,11,5590.86,508.26
12483.0,81,46,16,13,2327.1300000000006,179.01000000000005
12484.0,350,256,122,8,4495.27,561.90875
12488.0,55,46,27,3,1298.66,432.8866666666667
12489.0,15,15,15,1,334.92999999999995,334.92999999999995
12490.0,245,131,43,10,5417.930000000001,541.7930000000001
12491.0,26,25,26,1,460.4000000000001,460.4000000000001
12492.0,20,19,11,2,263.21,131.605
12493.0,23,20,12,3,416.79,138.93
12494.0,84,63,21,13,1139.3500000000001,87.6423076923077
12497.0,14,14,14,1,1043.1,1043.1
12498.0,23,21,13,3,403.7,134.56666666666666
12500.0,65,34,11,13,4206.27,323.5592307692308
12502.0,147,102,39,5,3723.8700000000003,744.7740000000001
12504.0,15,6,6,4,114.0,28.5
12505.0,1,1,1,1,-4.5,-4.5
12506.0,23,23,23,1,73.50000000000003,73.50000000000003
12507.0,23,19,13,4,1258.06,314.515
12508.0,69,57,52,2,398.27,199.135
12509.0,7,7,7,1,176.5,176.5
12510.0,33,29,29,2,982.57,491.285
12512.0,34,31,32,2,138.03000000000006,69.01500000000003
12513.0,36,35,35,2,586.7900000000001,293.39500000000004
12514.0,51,51,51,1,1017.6800000000002,1017.6800000000002
12515.0,16,16,16,1,383.7,383.7
12516.0,26,20,13,2,1312.06,656.03
12518.0,124,84,33,5,2056.89,411.378
12519.0,18,17,18,1,340.84,340.84
12520.0,155,121,60,6,2582.510000000001,430.4183333333335
12521.0,38,38,38,1,599.6800000000001,599.6800000000001
12522.0,12,11,6,2,192.72,96.36
12523.0,110,84,14,13,1745.5700000000002,134.2746153846154
12524.0,144,113,33,8,4485.72,560.715
12526.0,71,64,29,3,1316.6599999999999,438.8866666666666
12527.0,18,18,10,3,348.71000000000004,116.23666666666668
12528.0,95,50,31,8,1922.2799999999997,240.28499999999997
12530.0,68,51,20,5,1623.63,324.726
12531.0,17,17,17,1,125.22,125.22
12532.0,16,16,16,1,349.83,349.83
12534.0,63,63,63,1,1089.18,1089.18
12535.0,34,28,18,2,716.3500000000001,358.17500000000007
12538.0,21,21,21,1,363.95,363.95
12539.0,274,158,93,5,3852.4999999999995,770.4999999999999
12540.0,481,278,47,19,13309.039999999995,700.475789473684
12541.0,52,46,24,3,981.1799999999998,327.05999999999995
12544.0,20,19,19,2,355.7,177.85
12545.0,50,42,34,2,1000.39,500.195
12546.0,70,59,45,3,1141.5,380.5
12547.0,8,7,6,2,207.8,103.9
12548.0,5,5,5,1,95.19999999999999,95.19999999999999
12550.0,57,57,57,1,964.8299999999994,964.8299999999994
12551.0,10,10,10,1,168.0,168.0
12552.0,20,20,19,2,437.81999999999994,218.90999999999997
12553.0,196,95,38,14,3652.25,260.875
12556.0,121,100,67,2,603.7099999999998,301.8549999999999
12558.0,22,11,11,2,0.0,0.0
12559.0,22,21,20,3,536.2099999999999,178.73666666666665
12560.0,111,92,76,4,2101.3900000000003,525.3475000000001
12561.0,16,16,16,1,238.85,238.85
12562.0,168,99,29,7,3781.74,540.2485714285714
12564.0,21,21,21,1,456.9000000000001,456.9000000000001
12565.0,10,9,9,2,131.17,65.585
12566.0,20,19,19,2,346.70000000000005,173.35000000000002
12571.0,34,31,20,2,519.61,259.805
12572.0,62,53,36,3,1004.7200000000003,334.90666666666675
12573.0,28,26,28,1,160.54,160.54
12574.0,11,11,11,1,218.45000000000002,218.45000000000002
12576.0,89,72,26,6,1306.98,217.83
12577.0,148,137,67,4,595.4,148.85
12578.0,120,112,70,4,2753.359999999999,688.3399999999998
12579.0,31,29,29,3,410.71999999999997,136.90666666666667
12580.0,24,24,24,1,415.7,415.7
12581.0,15,15,15,1,197.70999999999998,197.70999999999998
12582.0,22,21,12,2,511.3599999999999,255.67999999999995
12583.0,251,115,24,18,7187.34,399.2966666666667
12584.0,126,44,18,18,1893.9499999999996,105.21944444444442
12585.0,97,77,65,4,1982.81,495.7025
12586.0,12,12,11,2,179.94,89.97
12587.0,4,4,4,1,144.0,144.0
12588.0,10,10,10,1,214.9,214.9
12589.0,35,29,25,2,646.68,323.34
12591.0,26,26,26,1,452.84999999999985,452.84999999999985
12592.0,18,11,9,2,437.6,218.8
12593.0,21,14,11,3,418.1,139.36666666666667
12594.0,119,50,24,11,3320.2200000000003,301.83818181818185
12596.0,27,25,15,2,618.27,309.135
12597.0,214,184,116,5,3683.1300000000015,736.6260000000003
12598.0,133,84,26,9,3002.6800000000003,333.6311111111111
12599.0,62,32,14,7,1032.58,147.51142857142855
12600.0,65,32,9,11,2581.04,234.64
12601.0,29,21,9,6,569.5600000000001,94.92666666666668
12602.0,12,12,12,1,153.12000000000003,153.12000000000003
12603.0,3,3,3,1,739.1999999999999,739.1999999999999
12604.0,16,15,10,2,254.18,127.09
12605.0,3,3,3,1,-7.5,-7.5
12607.0,202,101,101,2,-6.821210263296962e-13,-3.410605131648481e-13
12609.0,60,57,27,3,1126.85,375.6166666666666
12610.0,111,85,54,7,2057.99,293.9985714285714
12611.0,65,65,65,1,1193.32,1193.32
12612.0,21,19,19,2,643.59,321.795
12613.0,163,124,79,6,3218.98,536.4966666666667
12614.0,20,20,20,1,315.59999999999997,315.59999999999997
12615.0,105,82,31,4,2291.19,572.7975
12616.0,36,25,21,5,657.2499999999999,131.45
12617.0,42,39,42,1,355.5300000000002,355.5300000000002
12618.0,11,11,11,1,177.31,177.31
12619.0,95,50,17,13,3214.8099999999995,247.29307692307688
12620.0,92,89,35,3,1339.4099999999999,446.46999999999997
12621.0,474,261,57,23,13612.069999999998,591.8291304347825
12622.0,11,11,11,1,180.09999999999997,180.09999999999997
12623.0,18,18,18,1,305.1,305.1
12624.0,38,36,19,2,641.13,320.565
12625.0,91,74,53,3,2614.3199999999997,871.4399999999999
12626.0,307,232,62,13,6388.349999999999,491.41153846153844
12627.0,230,162,60,7,4478.53,639.79
12628.0,43,34,17,4,769.61,192.4025
12630.0,64,60,35,2,1270.88,635.44
12631.0,31,31,31,1,640.5000000000002,640.5000000000002
12633.0,103,73,38,5,2140.63,428.12600000000003
12635.0,101,96,61,2,1689.1799999999994,844.5899999999997
12637.0,394,205,77,10,5953.249999999998,595.3249999999998
12638.0,39,39,39,1,671.69,671.69
12639.0,22,22,22,1,486.1,486.1
12640.0,53,47,42,3,1174.58,391.52666666666664
12641.0,10,10,10,1,185.9,185.9
12642.0,47,39,24,3,1013.26,337.75333333333333
12643.0,24,11,8,6,3344.6400000000003,557.44
12644.0,31,31,31,1,477.9100000000001,477.9100000000001
12645.0,74,58,23,5,1755.3799999999999,351.07599999999996
12646.0,45,43,24,2,1346.9699999999998,673.4849999999999
12647.0,128,79,19,13,3669.92,282.3015384615385
12648.0,21,21,21,1,318.05,318.05
12649.0,33,30,17,4,603.71,150.9275
12650.0,20,20,20,1,314.44,314.44
12651.0,9,9,9,1,114.00000000000003,114.00000000000003
12652.0,51,48,48,2,914.5299999999997,457.2649999999999
12653.0,43,37,27,2,2209.85,1104.925
12654.0,38,31,11,5,601.98,120.396
12656.0,130,89,37,8,3982.7200000000003,497.84000000000003
12657.0,56,35,28,5,1152.06,230.41199999999998
12658.0,36,36,36,1,686.0500000000001,686.0500000000001
12659.0,5,5,5,1,91.68,91.68
12660.0,13,13,13,1,245.10000000000002,245.10000000000002
12662.0,232,129,31,12,3817.080000000001,318.0900000000001
12664.0,38,10,9,10,4863.88,486.38800000000003
12665.0,4,3,3,2,61.75,30.875
